1	48	0	0	-2.40E-02	1.30E+02	1.30E+02	1.31E-01	-1.57E-03	1.98E-03	2.79E-03	-1.36E-02	-2.02E-01	1.41E-01
1	49	0	0	-2.39E-02	1.30E+02	1.30E+02	1.31E-01	-1.78E-03	2.02E-03	2.92E-03	-1.39E-02	-2.07E-01	1.41E-01
1	50	0	0	-2.38E-02	1.31E+02	1.31E+02	1.30E-01	-1.98E-03	2.06E-03	3.05E-03	-1.42E-02	-2.11E-01	1.41E-01
1	51	0	0	-2.37E-02	1.31E+02	1.31E+02	1.30E-01	-2.18E-03	2.10E-03	3.19E-03	-1.45E-02	-2.16E-01	1.41E-01
1	52	0	0	-2.36E-02	1.31E+02	1.31E+02	1.29E-01	-2.38E-03	2.14E-03	3.32E-03	-1.48E-02	-2.21E-01	1.40E-01
1	53	0	0	-2.35E-02	1.31E+02	1.31E+02	1.29E-01	-2.57E-03	2.18E-03	3.46E-03	-1.51E-02	-2.26E-01	1.40E-01
1	54	0	0	-2.34E-02	1.32E+02	1.32E+02	1.29E-01	-2.77E-03	2.22E-03	3.61E-03	-1.54E-02	-2.30E-01	1.40E-01
1	55	0	0	-2.33E-02	1.32E+02	1.32E+02	1.28E-01	-2.96E-03	2.26E-03	3.75E-03	-1.57E-02	-2.35E-01	1.39E-01
1	56	0	0	-2.32E-02	1.32E+02	1.32E+02	1.28E-01	-3.15E-03	2.30E-03	3.90E-03	-1.59E-02	-2.40E-01	1.39E-01
1	57	0	0	-2.31E-02	1.32E+02	1.32E+02	1.28E-01	-3.34E-03	2.34E-03	4.05E-03	-1.62E-02	-2.45E-01	1.39E-01
1	58	0	0	-2.31E-02	1.33E+02	1.33E+02	1.27E-01	-3.52E-03	2.37E-03	4.20E-03	-1.65E-02	-2.49E-01	1.39E-01
1	59	0	0	-2.30E-02	1.33E+02	1.33E+02	1.27E-01	-3.70E-03	2.41E-03	4.35E-03	-1.68E-02	-2.54E-01	1.38E-01
1	60	0	0	-2.29E-02	1.33E+02	1.33E+02	1.27E-01	-3.89E-03	2.45E-03	4.51E-03	-1.70E-02	-2.59E-01	1.38E-01
1	61	0	0	-2.28E-02	1.33E+02	1.33E+02	1.26E-01	-4.07E-03	2.48E-03	4.67E-03	-1.73E-02	-2.64E-01	1.38E-01
1	62	0	0	-2.27E-02	1.34E+02	1.34E+02	1.26E-01	-4.24E-03	2.52E-03	4.83E-03	-1.76E-02	-2.68E-01	1.37E-01
1	63	0	0	-2.26E-02	1.34E+02	1.34E+02	1.26E-01	-4.42E-03	2.56E-03	5.00E-03	-1.78E-02	-2.73E-01	1.37E-01
1	64	0	0	-2.26E-02	1.34E+02	1.34E+02	1.26E-01	-4.59E-03	2.59E-03	5.16E-03	-1.81E-02	-2.78E-01	1.37E-01
1	65	0	0	-2.25E-02	1.34E+02	1.34E+02	1.25E-01	-4.76E-03	2.63E-03	5.33E-03	-1.84E-02	-2.82E-01	1.37E-01
1	66	0	0	-2.24E-02	1.35E+02	1.35E+02	1.25E-01	-4.93E-03	2.66E-03	5.50E-03	-1.86E-02	-2.87E-01	1.36E-01
1	67	0	0	-2.23E-02	1.35E+02	1.35E+02	1.25E-01	-5.10E-03	2.70E-03	5.67E-03	-1.89E-02	-2.92E-01	1.36E-01
